mirna_core_accession,mirna_id,study,comparison,log2_fold_change,padj,direction,base_mean,lfc_se,stat,pvalue,design,n_groups,reps_per_group,total_mirnas_before_prefilter,tested_mirnas_after_prefilter,prefilter_rule,fdr_threshold,significance_rule,confidence_class
1,Chr01_850,QIN-2021,GL9_stem_vs_GL9_callus,-5.74743582906972,4.84707080537083e-88,up_in_GL9_callus,11599.7011754927,0.285704496683296,-20.1167146327443,5.26855522322916e-90,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
2,Chr01_1229,QIN-2021,GL9_stem_vs_GL9_callus,4.56699458585843,2.10036386365734e-60,up_in_GL9_stem,17424.1627060714,0.27470046070553,16.6253619456216,4.56600839925509e-62,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
18,Chr05_19932,QIN-2021,GL9_stem_vs_GL9_callus,8.22611271618392,7.42431687283835e-44,up_in_GL9_stem,681.267266386224,0.585314760862562,14.0541692542681,7.26291867995056e-45,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
20,Chr05_20206,QIN-2021,GL9_stem_vs_GL9_callus,8.22611271618392,7.42431687283835e-44,up_in_GL9_stem,681.267266386224,0.585314760862562,14.0541692542681,7.26291867995056e-45,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
21,Chr05_20208,QIN-2021,GL9_stem_vs_GL9_callus,8.22611271618392,7.42431687283835e-44,up_in_GL9_stem,681.267266386224,0.585314760862562,14.0541692542681,7.26291867995056e-45,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
22,Chr05_20214,QIN-2021,GL9_stem_vs_GL9_callus,8.22611271618392,7.42431687283835e-44,up_in_GL9_stem,681.267266386224,0.585314760862562,14.0541692542681,7.26291867995056e-45,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
24,Chr05_23089,QIN-2021,GL9_stem_vs_GL9_callus,8.22611271618392,7.42431687283835e-44,up_in_GL9_stem,681.267266386224,0.585314760862562,14.0541692542681,7.26291867995056e-45,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
65,scaffold_46_44237,QIN-2021,GL9_stem_vs_GL9_callus,8.22611271618392,7.42431687283835e-44,up_in_GL9_stem,681.267266386224,0.585314760862562,14.0541692542681,7.26291867995056e-45,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
66,scaffold_46_44239,QIN-2021,GL9_stem_vs_GL9_callus,8.22611271618392,7.42431687283835e-44,up_in_GL9_stem,681.267266386224,0.585314760862562,14.0541692542681,7.26291867995056e-45,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
12,Chr03_12234,QIN-2021,GL9_stem_vs_GL9_callus,-4.61207600099064,3.4448920912794e-38,up_in_GL9_callus,21615.5987959252,0.352329488785169,-13.0902355544893,3.74444792530369e-39,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
14,Chr03_14086,QIN-2021,GL9_stem_vs_GL9_callus,-4.61462655732701,3.50528666250356e-38,up_in_GL9_callus,21643.2383734038,0.352755063605319,-13.0816734710011,4.19110361821078e-39,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
48,Chr08_35612,QIN-2021,GL9_stem_vs_GL9_callus,-6.65364113751794,7.08600576289705e-31,up_in_GL9_callus,170.681798021606,0.567366455550149,-11.7272374361051,9.24261621247441e-32,"~ group",2,3_per_group,99,93,raw_count>=10_in_at_least_2_samples,0.05,"padj < 0.05",high_confidence
