source,target,interaction_type,score,inhibition_type
Chr03_9415,Eucgr.H01257,miRNA-target,0.0,Cleavage
Chr05_17624,Eucgr.G02821,miRNA-target,0.0,Cleavage
Chr05_17624,Eucgr.G02838,miRNA-target,0.0,Cleavage
Chr05_17624,Eucgr.J00923,miRNA-target,0.0,Cleavage
Chr07_28550,Eucgr.L00193,miRNA-target,0.0,Cleavage
Chr07_28646,Eucgr.G02821,miRNA-target,0.0,Cleavage
Chr07_28646,Eucgr.G02838,miRNA-target,0.0,Cleavage
Chr07_28646,Eucgr.J00923,miRNA-target,0.0,Cleavage
Chr08_34494,Eucgr.H03741,miRNA-target,0.0,Cleavage
Chr10_41201,Eucgr.J00249,miRNA-target,0.0,Cleavage
Chr10_41575,Eucgr.G02821,miRNA-target,0.0,Cleavage
Chr10_41575,Eucgr.G02838,miRNA-target,0.0,Cleavage
Chr10_41575,Eucgr.J00923,miRNA-target,0.0,Cleavage
Egr-miR482b,Eucgr.C03843,miRNA-target,0.0,Cleavage
Egr-miRN5654,Eucgr.F04164,miRNA-target,0.0,Cleavage
Chr05_17624,Eucgr.F04380,miRNA-target,0.5,Cleavage
Chr07_28646,Eucgr.F04380,miRNA-target,0.5,Cleavage
Chr08_34494,Eucgr.H03750,miRNA-target,0.5,Cleavage
Chr08_34494,Eucgr.H03528,miRNA-target,0.5,Cleavage
Chr08_34494,Eucgr.H03746,miRNA-target,0.5,Cleavage
Chr10_41575,Eucgr.F04380,miRNA-target,0.5,Cleavage
Chr11_43106,Eucgr.H01257,miRNA-target,0.5,Cleavage
Chr11_43106,Eucgr.E01510,miRNA-target,0.5,Cleavage
Chr11_43106,Eucgr.E01509,miRNA-target,0.5,Cleavage
Chr11_43106,Eucgr.E01510,miRNA-target,0.5,Cleavage
Chr11_44314,Eucgr.A00384,miRNA-target,0.5,Cleavage
Egr-miR164a,Eucgr.B00529,miRNA-target,0.5,Cleavage
Egr-miR165b,Eucgr.F03066,miRNA-target,0.5,Cleavage
Egr-miR165e,Eucgr.F03066,miRNA-target,0.5,Cleavage
Egr-miR165f,Eucgr.F03066,miRNA-target,0.5,Cleavage
Chr01_1229,Eucgr.H01257,miRNA-target,1.0,Cleavage
Chr01_1685,Eucgr.H02376,miRNA-target,1.0,Cleavage
Chr03_9415,Eucgr.E01510,miRNA-target,1.0,Cleavage
Chr03_9415,Eucgr.E01509,miRNA-target,1.0,Cleavage
Chr03_9415,Eucgr.E01510,miRNA-target,1.0,Cleavage
Chr05_17624,Eucgr.K01240,miRNA-target,1.0,Cleavage
Chr05_18368,Eucgr.H04688,miRNA-target,1.0,Cleavage
Chr07_28646,Eucgr.K01240,miRNA-target,1.0,Cleavage
Chr08_31426,Eucgr.C02718,miRNA-target,1.0,Cleavage
Chr08_31426,Eucgr.H02369,miRNA-target,1.0,Cleavage
Chr08_34494,Eucgr.H03745,miRNA-target,1.0,Cleavage
Chr10_40549,Eucgr.F01449,miRNA-target,1.0,Cleavage
Chr10_41575,Eucgr.K01240,miRNA-target,1.0,Cleavage
Chr11_44314,Eucgr.G01626,miRNA-target,1.0,Cleavage
Chr11_44314,Eucgr.G01626,miRNA-target,1.0,Cleavage
Egr-miR156a,Eucgr.A02441,miRNA-target,1.0,Cleavage
Egr-miR156a,Eucgr.K01828,miRNA-target,1.0,Cleavage
Egr-miR156a,Eucgr.B03500,miRNA-target,1.0,Cleavage
Egr-miR156a,Eucgr.E03260,miRNA-target,1.0,Cleavage
Egr-miR156b,Eucgr.A02441,miRNA-target,1.0,Cleavage
Egr-miR156b,Eucgr.K01828,miRNA-target,1.0,Cleavage
Egr-miR156b,Eucgr.B03500,miRNA-target,1.0,Cleavage
Egr-miR156b,Eucgr.E03260,miRNA-target,1.0,Cleavage
Egr-miR156d,Eucgr.E03260,miRNA-target,1.0,Cleavage
Egr-miR156d,Eucgr.B03518,miRNA-target,1.0,Cleavage
Egr-miR156d,Eucgr.K01046,miRNA-target,1.0,Cleavage
Egr-miR156d,Eucgr.K01046,miRNA-target,1.0,Cleavage
Egr-miR156d,Eucgr.K01046,miRNA-target,1.0,Cleavage
Egr-miR156d,Eucgr.F03303,miRNA-target,1.0,Cleavage
Egr-miR156d,Eucgr.K02708,miRNA-target,1.0,Cleavage
Egr-miR156d,Eucgr.D02505,miRNA-target,1.0,Cleavage
Egr-miR156d,Eucgr.K02708,miRNA-target,1.0,Cleavage
Egr-miR156d,Eucgr.K02708,miRNA-target,1.0,Cleavage
Egr-miR156d,Eucgr.A02441,miRNA-target,1.0,Cleavage
Egr-miR156d,Eucgr.K01828,miRNA-target,1.0,Cleavage
Egr-miR156d,Eucgr.B00631,miRNA-target,1.0,Cleavage
Egr-miR156d,Eucgr.K02545,miRNA-target,1.0,Cleavage
Egr-miR156d,Eucgr.B03500,miRNA-target,1.0,Cleavage
Egr-miR156d,Eucgr.K02545,miRNA-target,1.0,Cleavage
Egr-miR156e,Eucgr.E03260,miRNA-target,1.0,Cleavage
Egr-miR156e,Eucgr.B03518,miRNA-target,1.0,Cleavage
Egr-miR156e,Eucgr.K01046,miRNA-target,1.0,Cleavage
Egr-miR156e,Eucgr.K01046,miRNA-target,1.0,Cleavage
Egr-miR156e,Eucgr.K01046,miRNA-target,1.0,Cleavage
Egr-miR156e,Eucgr.F03303,miRNA-target,1.0,Cleavage
Egr-miR156e,Eucgr.K02708,miRNA-target,1.0,Cleavage
Egr-miR156e,Eucgr.D02505,miRNA-target,1.0,Cleavage
