accession,node_id,mirna_status,node_type
,Eucgr.A00093,,protein
,Eucgr.A00357,,protein
,Eucgr.A00359,,protein
,Eucgr.A00384,,protein
,Eucgr.A00437,,protein
,Eucgr.A00474,,protein
,Eucgr.A00510,,protein
,Eucgr.A00530,,protein
,Eucgr.A00552,,protein
,Eucgr.A00726,,protein
,Eucgr.A00735,,protein
,Eucgr.A00916,,protein
,Eucgr.A00929,,protein
,Eucgr.A00932,,protein
,Eucgr.A01103,,protein
,Eucgr.A01301,,protein
,Eucgr.A01418,,protein
,Eucgr.A01463,,protein
,Eucgr.A01480,,protein
,Eucgr.A01534,,protein
,Eucgr.A01549,,protein
,Eucgr.A01661,,protein
,Eucgr.A01709,,protein
,Eucgr.A01782,,protein
,Eucgr.A02035,,protein
,Eucgr.A02083,,protein
,Eucgr.A02258,,protein
,Eucgr.A02292,,protein
,Eucgr.A02352,,protein
,Eucgr.A02354,,protein
,Eucgr.A02363,,protein
,Eucgr.A02441,,protein
,Eucgr.A02497,,protein
,Eucgr.A02570,,protein
,Eucgr.A02577,,protein
,Eucgr.A02578,,protein
,Eucgr.A02648,,protein
,Eucgr.A02779,,protein
,Eucgr.A02781,,protein
,Eucgr.A02865,,protein
,Eucgr.A02933,,protein
,Eucgr.A02935,,protein
,Eucgr.A02953,,protein
,Eucgr.A02958,,protein
,Eucgr.B00007,,protein
,Eucgr.B00090,,protein
,Eucgr.B00195,,protein
,Eucgr.B00198,,protein
,Eucgr.B00199,,protein
,Eucgr.B00200,,protein
,Eucgr.B00201,,protein
,Eucgr.B00203,,protein
,Eucgr.B00204,,protein
,Eucgr.B00205,,protein
,Eucgr.B00206,,protein
,Eucgr.B00207,,protein
,Eucgr.B00245,,protein
,Eucgr.B00260,,protein
,Eucgr.B00403,,protein
,Eucgr.B00529,,protein
,Eucgr.B00599,,protein
,Eucgr.B00601,,protein
,Eucgr.B00631,,protein
,Eucgr.B00634,,protein
,Eucgr.B00651,,protein
,Eucgr.B00707,,protein
,Eucgr.B00719,,protein
,Eucgr.B01002,,protein
,Eucgr.B01014,,protein
,Eucgr.B01015,,protein
,Eucgr.B01032,,protein
,Eucgr.B01071,,protein
,Eucgr.B01080,,protein
,Eucgr.B01131,,protein
,Eucgr.B01217,,protein
,Eucgr.B01230,,protein
,Eucgr.B01237,,protein
,Eucgr.B01252,,protein
,Eucgr.B01260,,protein
,Eucgr.B01314,,protein
,Eucgr.B01315,,protein
,Eucgr.B01363,,protein
,Eucgr.B01458,,protein
,Eucgr.B01463,,protein
,Eucgr.B01484,,protein
,Eucgr.B01530,,protein
,Eucgr.B01536,,protein
,Eucgr.B01553,,protein
,Eucgr.B01596,,protein
,Eucgr.B01645,,protein
,Eucgr.B01698,,protein
,Eucgr.B01733,,protein
,Eucgr.B01897,,protein
,Eucgr.B01918,,protein
,Eucgr.B02106,,protein
,Eucgr.B02121,,protein
,Eucgr.B02181,,protein
,Eucgr.B02209,,protein
,Eucgr.B02279,,protein
,Eucgr.B02351,,protein
,Eucgr.B02388,,protein
,Eucgr.B02504,,protein
,Eucgr.B02505,,protein
,Eucgr.B02507,,protein
,Eucgr.B02569,,protein
,Eucgr.B02594,,protein
,Eucgr.B02603,,protein
,Eucgr.B02960,,protein
,Eucgr.B02975,,protein
,Eucgr.B03011,,protein
,Eucgr.B03328,,protein
,Eucgr.B03389,,protein
,Eucgr.B03431,,protein
,Eucgr.B03433,,protein
,Eucgr.B03469,,protein
,Eucgr.B03500,,protein
,Eucgr.B03518,,protein
,Eucgr.B03521,,protein
,Eucgr.B03545,,protein
,Eucgr.B03578,,protein
,Eucgr.B03583,,protein
,Eucgr.B03640,,protein
,Eucgr.B03652,,protein
,Eucgr.B03840,,protein
,Eucgr.B03888,,protein
,Eucgr.B03889,,protein
,Eucgr.C00001,,protein
,Eucgr.C00008,,protein
,Eucgr.C00020,,protein
,Eucgr.C00100,,protein
,Eucgr.C00281,,protein
,Eucgr.C00285,,protein
,Eucgr.C00311,,protein
,Eucgr.C00409,,protein
,Eucgr.C00432,,protein
,Eucgr.C00525,,protein
,Eucgr.C00538,,protein
,Eucgr.C00539,,protein
,Eucgr.C00605,,protein
,Eucgr.C00608,,protein
,Eucgr.C00667,,protein
,Eucgr.C00752,,protein
,Eucgr.C00823,,protein
,Eucgr.C00842,,protein
,Eucgr.C00999,,protein
,Eucgr.C01004,,protein
,Eucgr.C01163,,protein
,Eucgr.C01267,,protein
,Eucgr.C01430,,protein
,Eucgr.C01493,,protein
,Eucgr.C01543,,protein
,Eucgr.C01547,,protein
,Eucgr.C01554,,protein
,Eucgr.C01635,,protein
,Eucgr.C01654,,protein
,Eucgr.C01728,,protein
,Eucgr.C01780,,protein
,Eucgr.C01781,,protein
,Eucgr.C01820,,protein
,Eucgr.C01822,,protein
,Eucgr.C01826,,protein
,Eucgr.C01828,,protein
,Eucgr.C01830,,protein
,Eucgr.C01920,,protein
,Eucgr.C01968,,protein
,Eucgr.C02055,,protein
,Eucgr.C02067,,protein
,Eucgr.C02072,,protein
,Eucgr.C02108,,protein
,Eucgr.C02112,,protein
,Eucgr.C02141,,protein
,Eucgr.C02142,,protein
,Eucgr.C02167,,protein
,Eucgr.C02304,,protein
,Eucgr.C02326,,protein
,Eucgr.C02388,,protein
,Eucgr.C02463,,protein
,Eucgr.C02470,,protein
,Eucgr.C02482,,protein
,Eucgr.C02488,,protein
,Eucgr.C02551,,protein
,Eucgr.C02558,,protein
,Eucgr.C02567,,protein
,Eucgr.C02570,,protein
,Eucgr.C02630,,protein
,Eucgr.C02701,,protein
,Eucgr.C02718,,protein
,Eucgr.C02758,,protein
,Eucgr.C02886,,protein
,Eucgr.C03070,,protein
,Eucgr.C03126,,protein
,Eucgr.C03195,,protein
,Eucgr.C03200,,protein
,Eucgr.C03202,,protein
,Eucgr.C03336,,protein
,Eucgr.C03337,,protein
,Eucgr.C03347,,protein
,Eucgr.C03354,,protein
,Eucgr.C03444,,protein
,Eucgr.C03469,,protein
,Eucgr.C03488,,protein
,Eucgr.C03507,,protein
,Eucgr.C03521,,protein
,Eucgr.C03535,,protein
,Eucgr.C03537,,protein
,Eucgr.C03562,,protein
,Eucgr.C03645,,protein
,Eucgr.C03702,,protein
,Eucgr.C03719,,protein
,Eucgr.C03843,,protein
,Eucgr.C03974,,protein
,Eucgr.C04008,,protein
,Eucgr.C04065,,protein
,Eucgr.C04151,,protein
,Eucgr.C04158,,protein
,Eucgr.C04198,,protein
,Eucgr.C04271,,protein
,Eucgr.D00014,,protein
,Eucgr.D00184,,protein
,Eucgr.D00250,,protein
,Eucgr.D00427,,protein
,Eucgr.D00428,,protein
,Eucgr.D00519,,protein
,Eucgr.D00591,,protein
,Eucgr.D00592,,protein
,Eucgr.D00593,,protein
,Eucgr.D00595,,protein
,Eucgr.D00620,,protein
,Eucgr.D00785,,protein
,Eucgr.D00907,,protein
,Eucgr.D00919,,protein
,Eucgr.D00923,,protein
,Eucgr.D01053,,protein
,Eucgr.D01066,,protein
,Eucgr.D01126,,protein
,Eucgr.D01196,,protein
,Eucgr.D01249,,protein
,Eucgr.D01503,,protein
,Eucgr.D01533,,protein
,Eucgr.D01559,,protein
,Eucgr.D01587,,protein
,Eucgr.D01599,,protein
,Eucgr.D01633,,protein
,Eucgr.D01636,,protein
,Eucgr.D01668,,protein
,Eucgr.D01673,,protein
,Eucgr.D01674,,protein
,Eucgr.D01758,,protein
,Eucgr.D01801,,protein
,Eucgr.D01851,,protein
,Eucgr.D02028,,protein
,Eucgr.D02142,,protein
,Eucgr.D02231,,protein
,Eucgr.D02412,,protein
,Eucgr.D02440,,protein
,Eucgr.D02505,,protein
,Eucgr.D02537,,protein
,Eucgr.D02544,,protein
,Eucgr.D02551,,protein
,Eucgr.D02603,,protein
,Eucgr.D02626,,protein
,Eucgr.D02632,,protein
,Eucgr.D02633,,protein
,Eucgr.D02653,,protein
,Eucgr.E00044,,protein
,Eucgr.E00053,,protein
,Eucgr.E00070,,protein
,Eucgr.E00280,,protein
,Eucgr.E00311,,protein
,Eucgr.E00331,,protein
,Eucgr.E00473,,protein
,Eucgr.E00524,,protein
,Eucgr.E00547,,protein
,Eucgr.E00552,,protein
,Eucgr.E00693,,protein
,Eucgr.E00715,,protein
,Eucgr.E00805,,protein
,Eucgr.E00847,,protein
,Eucgr.E01169,,protein
,Eucgr.E01212,,protein
,Eucgr.E01301,,protein
,Eucgr.E01306,,protein
,Eucgr.E01332,,protein
,Eucgr.E01439,,protein
,Eucgr.E01445,,protein
,Eucgr.E01509,,protein
,Eucgr.E01510,,protein
,Eucgr.E01581,,protein
,Eucgr.E01716,,protein
,Eucgr.E01777,,protein
,Eucgr.E01830,,protein
,Eucgr.E01880,,protein
,Eucgr.E01971,,protein
,Eucgr.E01979,,protein
,Eucgr.E01983,,protein
,Eucgr.E01990,,protein
,Eucgr.E01994,,protein
,Eucgr.E01998,,protein
,Eucgr.E02001,,protein
,Eucgr.E02004,,protein
