mirna_core_accession,mirna_id,srr_accession,study_id,tissue,genotype,condition,replicate,raw_count,cpm
2,Chr01_1229,SRR11749594,1,callus,GL9,,1,1060.0,78.066
2,Chr01_1229,SRR11749595,1,stem,GL9,,3,49626.0,3087.4063
2,Chr01_1229,SRR11749596,1,stem,GL9,,2,60831.0,3740.1079
2,Chr01_1229,SRR11749597,1,stem,GL9,,1,40093.0,2951.2105
2,Chr01_1229,SRR11749598,1,callus,DH201-2,,3,900.0,71.4653
2,Chr01_1229,SRR11749599,1,callus,DH201-2,,2,782.0,58.7788
2,Chr01_1229,SRR11749600,1,callus,DH201-2,,1,1113.0,86.3119
2,Chr01_1229,SRR11749601,1,stem,DH201-2,,3,83622.0,5526.677
2,Chr01_1229,SRR11749602,1,callus,GL9,,3,1072.0,73.9707
2,Chr01_1229,SRR11749603,1,callus,GL9,,2,961.0,77.2824
2,Chr01_1229,SRR11749604,1,stem,DH201-2,,2,140168.0,9480.7092
2,Chr01_1229,SRR11749605,1,stem,DH201-2,,1,76728.0,4737.8168
2,Chr01_1229,SRR14138141,3,stem,,tension_wood,1,15.0,3.0295
2,Chr01_1229,SRR14138142,3,stem,,opposite_wood,1,23.0,4.8933
2,Chr01_1229,SRR14138143,3,stem,,unbent_control,1,44.0,7.8295
2,Chr01_1229,SRR14138144,3,stem,,tension_wood,2,217.0,39.8371
2,Chr01_1229,SRR14138145,3,stem,,opposite_wood,2,68.0,18.3284
2,Chr01_1229,SRR14138146,3,stem,,unbent_control,2,662.0,146.8853
2,Chr01_1229,SRR5433935,4,leaves,,,1,1600.0,111.1045
2,Chr01_1229,SRR5433936,4,stem,,,1,845.0,37.4819
3,Chr01_1680,SRR11749594,1,callus,GL9,,1,19498.0,1435.9729
3,Chr01_1680,SRR11749595,1,stem,GL9,,3,28969.0,1802.2624
3,Chr01_1680,SRR11749596,1,stem,GL9,,2,34556.0,2124.6267
3,Chr01_1680,SRR11749597,1,stem,GL9,,1,44893.0,3304.5343
3,Chr01_1680,SRR11749598,1,callus,DH201-2,,3,13677.0,1086.0351
3,Chr01_1680,SRR11749599,1,callus,DH201-2,,2,18941.0,1423.6937
3,Chr01_1680,SRR11749600,1,callus,DH201-2,,1,18341.0,1422.3232
3,Chr01_1680,SRR11749601,1,stem,DH201-2,,3,32162.0,2125.6247
3,Chr01_1680,SRR11749602,1,callus,GL9,,3,22283.0,1537.5823
3,Chr01_1680,SRR11749603,1,callus,GL9,,2,25903.0,2083.0874
3,Chr01_1680,SRR11749604,1,stem,DH201-2,,2,45608.0,3084.8424
3,Chr01_1680,SRR11749605,1,stem,DH201-2,,1,41668.0,2572.9245
3,Chr01_1680,SRR14138141,3,stem,,tension_wood,1,16.0,3.2314
3,Chr01_1680,SRR14138142,3,stem,,opposite_wood,1,44.0,9.3611
3,Chr01_1680,SRR14138143,3,stem,,unbent_control,1,105.0,18.684
3,Chr01_1680,SRR14138144,3,stem,,tension_wood,2,204.0,37.4505
3,Chr01_1680,SRR14138145,3,stem,,opposite_wood,2,19.0,5.1212
3,Chr01_1680,SRR14138146,3,stem,,unbent_control,2,490.0,108.7218
3,Chr01_1680,SRR5433935,4,leaves,,,1,81.0,5.6247
3,Chr01_1680,SRR5433936,4,stem,,,1,3178.0,140.9675
4,Chr01_1685,SRR11749594,1,callus,GL9,,1,5362.0,394.8962
4,Chr01_1685,SRR11749595,1,stem,GL9,,3,3219.0,200.2652
4,Chr01_1685,SRR11749596,1,stem,GL9,,2,3914.0,240.6467
4,Chr01_1685,SRR11749597,1,stem,GL9,,1,2470.0,181.8145
4,Chr01_1685,SRR11749598,1,callus,DH201-2,,3,3524.0,279.8265
4,Chr01_1685,SRR11749599,1,callus,DH201-2,,2,3400.0,255.5598
4,Chr01_1685,SRR11749600,1,callus,DH201-2,,1,4630.0,359.0511
4,Chr01_1685,SRR11749601,1,stem,DH201-2,,3,1732.0,114.4699
4,Chr01_1685,SRR11749602,1,callus,GL9,,3,4597.0,317.2044
4,Chr01_1685,SRR11749603,1,callus,GL9,,2,4479.0,360.1957
4,Chr01_1685,SRR11749604,1,stem,DH201-2,,2,1752.0,118.5021
4,Chr01_1685,SRR11749605,1,stem,DH201-2,,1,1753.0,108.2446
4,Chr01_1685,SRR14138141,3,stem,,tension_wood,1,27.0,5.453
4,Chr01_1685,SRR14138142,3,stem,,opposite_wood,1,27.0,5.7443
4,Chr01_1685,SRR14138143,3,stem,,unbent_control,1,24.0,4.2706
4,Chr01_1685,SRR14138144,3,stem,,tension_wood,2,22.0,4.0388
4,Chr01_1685,SRR14138145,3,stem,,opposite_wood,2,9.0,2.4258
4,Chr01_1685,SRR14138146,3,stem,,unbent_control,2,89.0,19.7474
4,Chr01_1685,SRR5433935,4,leaves,,,1,1163.0,80.7591
4,Chr01_1685,SRR5433936,4,stem,,,1,1104.0,48.9705
5,Chr01_1896,SRR11749594,1,callus,GL9,,1,19555.0,1440.1708
5,Chr01_1896,SRR11749595,1,stem,GL9,,3,29005.0,1804.5021
5,Chr01_1896,SRR11749596,1,stem,GL9,,2,34614.0,2128.1928
5,Chr01_1896,SRR11749597,1,stem,GL9,,1,44944.0,3308.2883
5,Chr01_1896,SRR11749598,1,callus,DH201-2,,3,13697.0,1087.6232
5,Chr01_1896,SRR11749599,1,callus,DH201-2,,2,18968.0,1425.7231
5,Chr01_1896,SRR11749600,1,callus,DH201-2,,1,18363.0,1424.0293
5,Chr01_1896,SRR11749601,1,stem,DH201-2,,3,32199.0,2128.07
5,Chr01_1896,SRR11749602,1,callus,GL9,,3,22332.0,1540.9635
5,Chr01_1896,SRR11749603,1,callus,GL9,,2,25965.0,2088.0733
5,Chr01_1896,SRR11749604,1,stem,DH201-2,,2,45659.0,3088.2919
5,Chr01_1896,SRR11749605,1,stem,DH201-2,,1,41716.0,2575.8884
